Unnamed: 0,id,likesCount,owner/is_mentionable,owner/is_private,owner/is_verified,repliesCount,text,timestamp,sentiment,we_count,them_count,clean_text,has_we,has_them,we_count,them_count,pronoun_type,has_othering,othering_score,matched_patterns,othering_predicted,othering_proba,toxicity,severe_toxicity,identity_attack,insult,threat,emotion,emotion_score
0,18059684816281581,1,True,True,False,0,❤️❤️❤️,2025-04-16T09:56:55.000Z,"{'label': 'positive', 'score': 0.9443865418434143}",0,0,,False,False,0,0,none,False,0,[],0,0.0,0.0019954389426857233,0.00010936457692878321,0.0001826662919484079,0.0002450727915856987,0.00011330090637784451,neutral,0.9995506405830383
1,18078007339742672,1,False,True,False,0,👏👏👏👏👏👏👏👏,2025-04-16T09:56:17.000Z,"{'label': 'positive', 'score': 0.9158021807670593}",0,0,,False,False,0,0,none,False,0,[],0,0.0,0.0019954389426857233,0.00010936457692878321,0.0001826662919484079,0.0002450727915856987,0.00011330090637784451,neutral,0.9995506405830383
2,17894322462199128,1,True,False,True,0,🔥👏,2025-04-16T10:01:41.000Z,"{'label': 'positive', 'score': 0.9557453989982605}",0,0,,False,False,0,0,none,False,0,[],0,0.0,0.0019954389426857233,0.00010936457692878321,0.0001826662919484079,0.0002450727915856987,0.00011330090637784451,neutral,0.9995506405830383
3,18073369624874273,233,True,False,True,1,“I’m a horrible person but I make it okay by showcasing my dog”,2025-04-16T09:59:00.000Z,"{'label': 'negative', 'score': 0.8309212923049927}",0,0,i m a horrible person but i make it okay by showcasing my dog,False,False,0,0,none,False,0,[],0,0.0,0.06862123310565948,0.00021667106193490326,0.00041729488293640316,0.0014428301947191358,0.00040421070298179984,fear,0.944353461265564
4,17859325476395396,93,True,True,False,2,The country is imploding and they are in there playing around with dogs.,2025-04-16T09:59:13.000Z,"{'label': 'negative', 'score': 0.9410051107406616}",0,1,the country is imploding and they are in there playing around with dogs.,False,True,0,1,them_only,False,0,[],0,0.0,0.11071525514125824,0.00022975695901550353,0.0021298492792993784,0.004725408274680376,0.0004939751815982163,sadness,0.8380389213562012
5,18062205962019492,2,True,False,True,0,Great message 👏❤️,2025-04-16T10:05:23.000Z,"{'label': 'positive', 'score': 0.9776917695999146}",0,0,great message,False,False,0,0,none,False,0,[],0,0.0,0.0007448152755387127,0.0001125064809457399,0.00014141161227598786,0.0001769142400007695,0.00011062510020565242,admiration,0.9997405409812927
6,18326741518161813,44,True,True,False,4,So tf this mean??? President should be a dog to make us all happy?,2025-04-16T10:00:47.000Z,"{'label': 'negative', 'score': 0.4525824189186096}",1,0,so tf this mean??? president should be a dog to make us all happy?,True,False,1,0,we_only,False,0,[],0,0.0,0.2956406772136688,0.00035515966010279953,0.00646915752440691,0.04010860249400139,0.0007644497090950608,curiosity,0.9988343119621277
7,18028796843392710,22,True,False,False,1,WTF and why #Distractions,2025-04-16T09:58:42.000Z,"{'label': 'negative', 'score': 0.8597761392593384}",0,0,wtf and why distractions,False,False,0,0,none,False,0,[],0,0.0,0.7316153645515442,0.005052842199802399,0.002037639729678631,0.02024972252547741,0.0010391888208687305,neutral,0.9991412162780762
8,18340214185085576,18,True,True,False,1,He is an embarrasement to my home state. Love the dog but feel sorry for who she lives with,2025-04-16T10:02:55.000Z,"{'label': 'negative', 'score': 0.9349485635757446}",0,0,he is an embarrasement to my home state. love the dog but feel sorry for who she lives with,False,False,0,0,none,False,0,[],0,0.0,0.0012259345967322588,9.901563316816464e-05,0.0001553792244521901,0.0002146420010831207,0.00011307241948088631,embarrassment,0.9802187085151672
9,18075813403826612,1,True,False,False,0,❤️❤️❤️❤️,2025-04-16T09:55:26.000Z,"{'label': 'positive', 'score': 0.9504250288009644}",0,0,,False,False,0,0,none,False,0,[],0,0.0,0.0019954389426857233,0.00010936457692878321,0.0001826662919484079,0.0002450727915856987,0.00011330090637784451,neutral,0.9995506405830383
10,18062535917071553,73,True,True,False,1,"So, do something, Jim. We don’t need these shenanigans with your spitting image pup. We need action.",2025-04-16T10:01:21.000Z,"{'label': 'negative', 'score': 0.7896488308906555}",1,0,"so, do something, jim. we don t need these shenanigans with your spitting image pup. we need action.",True,False,2,0,we_only,False,0,[],0,0.0,0.18141725659370422,0.00021560479945037514,0.0011373617453500628,0.013043943792581558,0.0006448245840147138,neutral,0.9997290968894958
11,18054137039242023,4,True,True,False,0,Twins,2025-04-16T09:59:00.000Z,"{'label': 'neutral', 'score': 0.7760615348815918}",0,0,twins,False,False,0,0,none,False,0,[],0,0.0,0.0023861839435994625,0.00010560374357737601,0.00017757793830242008,0.00023793977743480355,9.34218624024652e-05,neutral,0.9999735355377197
12,18043691231430347,12,False,True,False,0,none,2025-04-16T10:03:09.000Z,"{'label': 'neutral', 'score': 0.6332381367683411}",0,0,none,False,False,0,0,none,False,0,[],0,0.0,0.0011606368934735656,0.00010124022082891315,0.0001464106171624735,0.00020216875418554991,9.963934280676767e-05,neutral,0.9999849796295166
13,17963639696881391,2,True,True,False,0,We need term limits asap,2025-04-16T10:08:25.000Z,"{'label': 'neutral', 'score': 0.49867844581604004}",0,0,we need term limits asap,True,False,1,0,we_only,False,0,[],0,0.0,0.0006815279484726489,0.00011886864376720041,0.0001407402305630967,0.00017326453235000372,0.00012847066682297736,neutral,0.9761843681335449
14,18391442602112033,3,True,True,False,0,He’s embarrassing,2025-04-16T10:02:32.000Z,"{'label': 'negative', 'score': 0.8951497673988342}",0,0,he s embarrassing,False,False,0,0,none,False,0,[],0,0.0,0.2924067974090576,0.0003577797906473279,0.000880046805832535,0.005444418638944626,0.0004076794139109552,embarrassment,0.9948947429656982
15,18026777324422613,12173,False,False,True,113,"No comments about the poor old man. He could have a broken hip, bone, or a concussion.",2025-04-16T00:47:04.000Z,"{'label': 'negative', 'score': 0.873942494392395}",1,0,"no comments about the poor old man. he could have a broken hip, bone, or a concussion.",False,False,0,0,none,False,0,[],0,0.0,0.021000929176807404,0.00013210657925810665,0.0005524959997273982,0.0018328008009120822,0.0002432838809909299,neutral,0.797584056854248
16,17945783009973133,9066,True,True,False,185,"So what you were telling me is he was walking into court, in accordance with the United States legal process, and instead of getting to go to his hearing he’s been kidnapped and sent off to a detention center?",2025-04-16T00:50:15.000Z,"{'label': 'negative', 'score': 0.5961853265762329}",2,0,"so what you were telling me is he was walking into court, in accordance with the united states legal process, and instead of getting to go to his hearing he s been kidnapped and sent off to a detention center?",False,False,0,0,none,False,0,[],0,0.0,0.0007483263034373522,0.0001159913299488835,0.0001475546887377277,0.00019102067744825035,0.00011358096526237205,curiosity,0.9629725813865662
17,17975637284835389,5838,True,False,False,126,What the FUCK is going on in this country,2025-04-16T00:42:12.000Z,"{'label': 'negative', 'score': 0.9316998720169067}",0,0,what the fuck is going on in this country,False,False,0,0,none,False,0,[],0,0.0,0.9872041344642639,0.14009568095207214,0.0032743269111961126,0.15939787030220032,0.004205539356917143,anger,0.9992583394050598
18,17928783768044240,1521,True,False,False,21,Due process has left the chat,2025-04-16T01:14:49.000Z,"{'label': 'neutral', 'score': 0.8061901926994324}",0,0,due process has left the chat,False,False,0,0,none,False,0,[],0,0.0,0.0007266312022693455,0.00011205765622435138,0.00013616260548587888,0.0001746865309542045,0.00011323211219860241,neutral,0.9999688863754272
19,17861086377391170,92,True,False,False,0,What’s the update on the poor innocent elderly bystander?,2025-04-16T01:30:59.000Z,"{'label': 'negative', 'score': 0.8600215315818787}",0,0,what s the update on the poor innocent elderly bystander?,False,False,0,0,none,False,0,[],0,0.0,0.008660001680254936,0.00010083565575769171,0.00034449255326762795,0.000757046218495816,0.00012103150220355019,curiosity,0.5780437588691711
20,"1,81E+16",2201,True,False,False,18,Bystander just got paid,2025-04-16T00:42:23.000Z,"{'label': 'neutral', 'score': 0.6626310348510742}",1,0,bystander just got paid,False,False,0,0,none,False,0,[],0,0.0,0.04874014854431152,0.0002522988070268184,0.0004742117307614535,0.004155391361564398,0.0001519194192951545,neutral,0.9999313354492188
21,18106680388494714,665,True,False,False,17,I bet these guys feel realllll cool,2025-04-16T00:49:54.000Z,"{'label': 'positive', 'score': 0.7130946516990662}",0,0,i bet these guys feel realllll cool,False,False,0,0,none,False,0,[],0,0.0,0.0010614959755912423,0.00010236659727524966,0.00013328675413504243,0.00017283420311287045,0.00011306638771202415,approval,0.7937604188919067
22,17891155668229832,680,True,True,False,3,Nobody checked on the poor old man on the floor!?,2025-04-16T00:53:21.000Z,"{'label': 'negative', 'score': 0.8958976864814758}",0,0,nobody checked on the poor old man on the floor!?,False,False,0,0,none,False,0,[],0,0.0,0.015618710778653622,9.134396532317623e-05,0.0002922873536590487,0.0008004027768038213,0.00016172026516869664,neutral,0.9446194767951965
23,18103811962506972,198,True,False,True,2,That bystander needs to sue for this assault. Just ridiculous,2025-04-16T01:04:37.000Z,"{'label': 'negative', 'score': 0.9372498989105225}",2,0,that bystander needs to sue for this assault. just ridiculous,False,False,0,0,none,False,0,[],0,0.0,0.5487312078475952,0.0006134508294053376,0.0037209822330623865,0.03763493150472641,0.0009144133073277771,annoyance,0.8843913674354553
24,18060886580282540,462,True,True,False,23,Is that man w the cane ok?!,2025-04-16T00:42:12.000Z,"{'label': 'negative', 'score': 0.48385557532310486}",0,0,is that man w the cane ok?!,False,False,0,0,none,False,0,[],0,0.0,0.003597336821258068,8.270778926089406e-05,0.00017098768148571253,0.000264831556705758,9.977253648685291e-05,curiosity,0.9951175451278687
25,18054085925229043,80,True,True,False,2,I hope the older gentleman sues.,2025-04-16T00:49:54.000Z,"{'label': 'negative', 'score': 0.6194475889205933}",0,0,i hope the older gentleman sues.,False,False,0,0,none,False,0,[],0,0.0,0.31072285771369934,0.0014704213244840503,0.008101332001388073,0.006822110153734684,0.03717830777168274,optimism,0.9975854158401489
26,17844813570447460,599,True,True,False,9,Prevent him from going to his court date?,2025-04-16T00:42:14.000Z,"{'label': 'neutral', 'score': 0.728689968585968}",1,0,prevent him from going to his court date?,False,False,0,0,none,False,0,[],0,0.0,0.000971769099123776,0.00010415392171125859,0.0001424260117346421,0.00018249722779728472,0.00011539008846739307,neutral,0.999976634979248
27,18381068509189663,1182,True,True,False,8,Bystander needs to sue the sh!t out of these guys,2025-04-16T00:49:24.000Z,"{'label': 'negative', 'score': 0.87267005443573}",0,0,bystander needs to sue the sh!t out of these guys,False,False,0,0,none,False,0,[],0,0.0,0.9278688430786133,0.02651471644639969,0.10784502327442169,0.4636654853820801,0.013310509733855724,neutral,0.9997184872627258
28,18075910312750292,829,True,False,False,10,This is wrong. This is so wrong.,2025-04-16T00:44:47.000Z,"{'label': 'negative', 'score': 0.9306752681732178}",0,0,this is wrong. this is so wrong.,False,False,0,0,none,False,0,[],0,0.0,0.003172398079186678,0.00010930524877039716,0.00017027360445354134,0.0002150912769138813,9.950442472472787e-05,disapproval,0.9996620416641235
29,18040304066207566,4641,False,False,False,169,So I'm calling out the Latinos for Trump this is how y'all wanted to be treated right?,2025-04-16T00:43:26.000Z,"{'label': 'negative', 'score': 0.5515229105949402}",0,0,so i'm calling out the latinos for trump this is how y'all wanted to be treated right?,False,False,0,0,none,False,0,[],0,0.0,0.002499541500583291,0.00011830776929855347,0.000406700826715678,0.00022548942069988698,0.00013188217417337,neutral,0.9999462366104126
30,18032259599641208,305,False,True,False,2,Commie Sanders can shove it,2025-04-15T20:04:25.000Z,"{'label': 'negative', 'score': 0.8688162565231323}",0,0,commie sanders can shove it,False,False,0,0,none,False,0,[],0,0.0,0.23842549324035645,0.0004109540896024555,0.00041683902963995934,0.006016902159899473,0.0003604740195441991,neutral,0.9999915361404419
31,17930179718914927,178,True,True,False,16,He’s a multimillionaire and Coachella is not cheap! Nobody read the room and not his target audience,2025-04-15T20:05:09.000Z,"{'label': 'negative', 'score': 0.4578518569469452}",0,0,he s a multimillionaire and coachella is not cheap! nobody read the room and not his target audience,False,False,0,0,none,False,0,[],0,0.0,0.09032226353883743,0.0001283648598473519,0.0005427395226433873,0.005633683409541845,0.00017571155331097543,neutral,0.9999645948410034
32,18030714113347895,169,True,True,False,0,🙄🙄🙄 Communist with 3 mansions,2025-04-15T20:20:25.000Z,"{'label': 'negative', 'score': 0.6779053807258606}",0,0,communist with 3 mansions,False,False,0,0,none,False,0,[],0,0.0,0.0033584851771593094,8.908814925234765e-05,0.00022595688642468303,0.00025915552396327257,9.522248728899285e-05,neutral,0.9978540539741516
33,18009505277738216,1,True,True,False,0,He’s one of them,2025-04-15T20:37:52.000Z,"{'label': 'neutral', 'score': 0.5993119478225708}",0,1,he s one of them,False,True,0,1,them_only,False,0,[],0,0.0,0.0714600682258606,0.00018904406169895083,0.0009095545974560082,0.0032131012994796038,0.00023715519637335092,neutral,0.9999849796295166
34,18030396365345324,18,True,False,False,0,Tell Mr Magoo to shut up 😂,2025-04-15T20:11:04.000Z,"{'label': 'negative', 'score': 0.5942280292510986}",0,0,tell mr magoo to shut up,False,False,0,0,none,False,0,[],0,0.0,0.8676050901412964,0.0025308295153081417,0.016952069476246834,0.09168519824743271,0.010867279954254627,annoyance,0.9869260787963867
