id,likesCount,owner/is_mentionable,owner/is_private,owner/is_verified,repliesCount,text,timestamp,clean_text,has_we,has_them,we_count,them_count,pronoun_type,has_othering,othering_score,matched_patterns,othering_predicted,othering_proba,toxicity,severe_toxicity,identity_attack,insult,threat,emotion,emotion_score
18059684816281581,1,True,True,False,0,❤️❤️❤️,2025-04-16T09:56:55.000Z,,False,False,0,0,none,False,0,[],0,0.0,0.0019954389426857,0.0001093645769287,0.0001826662919484,0.0002450727915856,0.0001133009063778,neutral,0.9995506405830384
18078007339742672,1,False,True,False,0,👏👏👏👏👏👏👏👏,2025-04-16T09:56:17.000Z,,False,False,0,0,none,False,0,[],0,0.0,0.0019954389426857,0.0001093645769287,0.0001826662919484,0.0002450727915856,0.0001133009063778,neutral,0.9995506405830384
17894322462199128,1,True,False,True,0,🔥👏,2025-04-16T10:01:41.000Z,,False,False,0,0,none,False,0,[],0,0.0,0.0019954389426857,0.0001093645769287,0.0001826662919484,0.0002450727915856,0.0001133009063778,neutral,0.9995506405830384
18073369624874273,233,True,False,True,1,“I’m a horrible person but I make it okay by showcasing my dog”,2025-04-16T09:59:00.000Z,i m a horrible person but i make it okay by showcasing my dog,False,False,0,0,none,False,0,[],0,0.0005,0.0686212331056594,0.0002166710619349,0.0004172948829364,0.0014428301947191,0.0004042107029817,fear,0.944353461265564
17859325476395396,93,True,True,False,2,The country is imploding and they are in there playing around with dogs.,2025-04-16T09:59:13.000Z,the country is imploding and they are in there playing around with dogs.,False,True,0,1,them_only,False,0,[],0,0.0001,0.1107152551412582,0.0002297569590155,0.0021298492792993,0.0047254082746803,0.0004939751815982,sadness,0.8380389213562012
18062205962019492,2,True,False,True,0,Great message 👏❤️,2025-04-16T10:05:23.000Z,great message,False,False,0,0,none,False,0,[],0,0.0,0.0007448152755387,0.0001125064809457,0.0001414116122759,0.0001769142400007,0.0001106251002056,admiration,0.9997405409812928
18326741518161813,44,True,True,False,4,So tf this mean??? President should be a dog to make us all happy?,2025-04-16T10:00:47.000Z,so tf this mean??? president should be a dog to make us all happy?,True,False,1,0,we_only,False,0,[],0,0.0,0.2956406772136688,0.0003551596601027,0.0064691575244069,0.0401086024940013,0.000764449709095,curiosity,0.9988343119621276
18028796843392710,22,True,False,False,1,WTF and why #Distractions,2025-04-16T09:58:42.000Z,wtf and why distractions,False,False,0,0,none,False,0,[],0,0.0002,0.7316153645515442,0.0050528421998023,0.0020376397296786,0.0202497225254774,0.0010391888208687,neutral,0.9991412162780762
18340214185085576,18,True,True,False,1,He is an embarrasement to my home state. Love the dog but feel sorry for who she lives with,2025-04-16T10:02:55.000Z,he is an embarrasement to my home state. love the dog but feel sorry for who she lives with,False,False,0,0,none,False,0,[],0,0.0001,0.0012259345967322,9.901563316816464e-05,0.0001553792244521,0.0002146420010831,0.0001130724194808,embarrassment,0.9802187085151672
18075813403826612,1,True,False,False,0,❤️❤️❤️❤️,2025-04-16T09:55:26.000Z,,False,False,0,0,none,False,0,[],0,0.0,0.0019954389426857,0.0001093645769287,0.0001826662919484,0.0002450727915856,0.0001133009063778,neutral,0.9995506405830384
18062535917071553,73,True,True,False,1,"So, do something, Jim. We don’t need these shenanigans with your spitting image pup. We need action.",2025-04-16T10:01:21.000Z,"so, do something, jim. we don t need these shenanigans with your spitting image pup. we need action.",True,False,2,0,we_only,False,0,[],0,0.0002,0.1814172565937042,0.0002156047994503,0.00113736174535,0.0130439437925815,0.0006448245840147,neutral,0.9997290968894958
18054137039242023,4,True,True,False,0,Twins,2025-04-16T09:59:00.000Z,twins,False,False,0,0,none,False,0,[],0,0.0,0.0023861839435994,0.0001056037435773,0.0001775779383024,0.0002379397774348,9.34218624024652e-05,neutral,0.9999735355377196
18043691231430347,12,False,True,False,0,,2025-04-16T10:03:09.000Z,,False,False,0,0,none,False,0,[],0,0.0,0.0019954389426857,0.0001093645769287,0.0001826662919484,0.0002450727915856,0.0001133009063778,neutral,0.9995506405830384
17963639696881391,2,True,True,False,0,We need term limits asap,2025-04-16T10:08:25.000Z,we need term limits asap,True,False,1,0,we_only,False,0,[],0,0.0004,0.0006815279484726,0.0001188686437672,0.000140740230563,0.00017326453235,0.0001284706668229,neutral,0.9761843681335448
18391442602112033,3,True,True,False,0,He’s embarrassing,2025-04-16T10:02:32.000Z,he s embarrassing,False,False,0,0,none,False,0,[],0,0.0,0.2924067974090576,0.0003577797906473,0.0008800468058325,0.0054444186389446,0.0004076794139109,embarrassment,0.9948947429656982
18026777324422613,12173,False,False,True,113,"No comments about the poor old man. He could have a broken hip, bone, or a concussion.",2025-04-16T00:47:04.000Z,"no comments about the poor old man. he could have a broken hip, bone, or a concussion.",False,False,0,0,none,False,0,[],0,0.0,0.0210009291768074,0.0001321065792581,0.0005524959997273,0.001832800800912,0.0002432838809909,neutral,0.797584056854248
17945783009973133,9066,True,True,False,185,"So what you were telling me is he was walking into court, in accordance with the United States legal process, and instead of getting to go to his hearing he’s been kidnapped and sent off to a detention center?",2025-04-16T00:50:15.000Z,"so what you were telling me is he was walking into court, in accordance with the united states legal process, and instead of getting to go to his hearing he s been kidnapped and sent off to a detention center?",False,False,0,0,none,False,0,[],0,0.0009,0.0007483263034373,0.0001159913299488,0.0001475546887377,0.0001910206774482,0.0001135809652623,curiosity,0.9629725813865662
17975637284835389,5838,True,False,False,126,What the FUCK is going on in this country,2025-04-16T00:42:12.000Z,what the fuck is going on in this country,False,False,0,0,none,False,0,[],0,0.0002,0.987204134464264,0.1400956809520721,0.0032743269111961,0.1593978703022003,0.0042055393569171,anger,0.9992583394050598
17928783768044240,1521,True,False,False,21,Due process has left the chat,2025-04-16T01:14:49.000Z,due process has left the chat,False,False,0,0,none,False,0,[],0,0.0,0.0007266312022693,0.0001120576562243,0.0001361626054858,0.0001746865309542,0.0001132321121986,neutral,0.9999688863754272
17861086377391170,92,True,False,False,0,What’s the update on the poor innocent elderly bystander?,2025-04-16T01:30:59.000Z,what s the update on the poor innocent elderly bystander?,False,False,0,0,none,False,0,[],0,0.0002,0.0086600016802549,0.0001008356557576,0.0003444925532676,0.0007570462184958,0.0001210315022035,curiosity,0.5780437588691711
"1,81E+16",2201,True,False,False,18,Bystander just got paid,2025-04-16T00:42:23.000Z,bystander just got paid,False,False,0,0,none,False,0,[],0,0.0,0.0487401485443115,0.0002522988070268,0.0004742117307614,0.0041553913615643,0.0001519194192951,neutral,0.9999313354492188
18106680388494714,665,True,False,False,17,I bet these guys feel realllll cool,2025-04-16T00:49:54.000Z,i bet these guys feel realllll cool,False,False,0,0,none,False,0,[],0,0.0004,0.0010614959755912,0.0001023665972752,0.000133286754135,0.0001728342031128,0.000113066387712,approval,0.7937604188919067
